"","Field","richness","total_yield","abundance","honeybee","bombus","wildbees","syrphids","yield_units","abundance_units"
"1","site_1",10,4.49990495416667,47,20,3,0,4,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"2","site_10",13,3.63122600833333,25,7,0,0,6,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"3","site_11",16,2.57882894166667,39,0,5,6,9,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"4","site_12",10,3.29342875416667,36,13,0,0,20,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"5","site_13",12,4.12128769166667,32,6,0,0,12,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"6","site_14",11,3.39359832083333,40,2,0,4,17,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"7","site_15",14,5.3080294125,27,1,2,6,3,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"8","site_2",12,5.78153883333333,46,2,10,3,5,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"9","site_3",15,5.39318884166667,49,7,4,1,17,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"10","site_4",10,5.27933771666667,53,14,0,0,5,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"11","site_5",13,4.61330675833333,56,2,8,0,16,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"12","site_6",20,4.72861250833333,45,8,3,2,9,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"13","site_7",19,5.40902844166667,74,37,7,0,10,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"14","site_8",15,5.92059647916667,42,1,6,3,9,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
"15","site_9",11,6.06500337083333,26,2,0,0,2,"weigth_per_plant_grams","individuals_per_30min_in_3m2"
